12/4/14,4,11:34,8.62,11.32,Cleveland; OH,AT&T,0,62.782,Mbits/s,Mbits/s
12/4/14,4,11:34,7.97,13.13,Detroit; MI,Comcast,0,42.071,Mbits/s,Mbits/s
12/4/14,4,11:34,17.81,13.75,Detroit; MI,T-Mobile,0,36.012,Mbits/s,Mbits/s
12/4/14,4,11:35,9.52,11.24,Detroit; MI,AT&T,0,37.839,Mbits/s,Mbits/s
12/4/14,4,11:35,17.65,11.9,Detroit; MI,T-Mobile,0,30.874,Mbits/s,Mbits/s
12/4/14,4,11:35,10.63,12.81,Cleveland; OH,AT&T,0,48.034,Mbits/s,Mbits/s
12/4/14,4,11:36,17.66,7.28,Cleveland; OH,AT&T,0,39.096,Mbits/s,Mbits/s
12/4/14,4,11:36,17.69,7.66,Cleveland; OH,AT&T,0,35.093,Mbits/s,Mbits/s
12/4/14,4,11:36,10.64,6.33,Toledo; OH,Amplex,0,62.227,Mbits/s,Mbits/s
12/4/14,4,11:37,6.97,15.63,Detroit; MI,Comcast,0,36.746,Mbits/s,Mbits/s
12/4/14,4,11:37,20.6,6.83,Detroit; MI,T-Mobile,0,33.691,Mbits/s,Mbits/s
12/4/14,4,11:38,11.26,14.6,Cleveland; OH,AT&T,0,35.943,Mbits/s,Mbits/s
12/4/14,4,11:38,18.2,14.93,Detroit; MI,T-Mobile,0,37.884,Mbits/s,Mbits/s
12/4/14,4,11:38,12.92,7.65,Cleveland; OH,AT&T,0,48.021,Mbits/s,Mbits/s
12/4/14,4,11:38,10.13,12,Toledo; OH,Amplex,0,78.766,Mbits/s,Mbits/s
12/4/14,4,11:39,21.09,12.22,Detroit; MI,T-Mobile,0,30.772,Mbits/s,Mbits/s
12/4/14,4,11:39,6.85,8.59,Cleveland; OH,AT&T,0,35.04,Mbits/s,Mbits/s
12/4/14,4,11:39,12.51,11.33,Cleveland; OH,AT&T,0,34.442,Mbits/s,Mbits/s
12/4/14,4,11:39,12.85,11.19,Cleveland; OH,AT&T,0,40.041,Mbits/s,Mbits/s
12/4/14,4,11:40,11.67,10.79,Canton; OH,LightSpeed Technologies,0,75.935,Mbits/s,Mbits/s
12/4/14,4,11:40,20.34,11.79,Detroit; MI,T-Mobile,0,29.086,Mbits/s,Mbits/s
12/4/14,4,11:41,13.06,15.65,Detroit; MI,T-Mobile,0,29.16,Mbits/s,Mbits/s
12/4/14,4,11:41,13.68,8.35,Detroit; MI,T-Mobile,0,30.335,Mbits/s,Mbits/s
12/4/14,4,11:41,12.1,7.16,Detroit; MI,Comcast,0,36.129,Mbits/s,Mbits/s
12/4/14,4,11:42,19.74,14.99,Cleveland; OH,AT&T,0,36.912,Mbits/s,Mbits/s
